TICKER,COMPANY,WEBSITE,INDUSTRY,SECTOR,PRICE,CURRENCY,CRITERIA PASSED,DIVIDEND SCORE
GIG.OL,Gaming Innovation Group Inc.,https://www.gig.com,Gambling,Consumer Cyclical,29.0,NOK,4,0.0
NAVA.OL,Navamedic ASA,https://www.navamedic.com,Medical Distribution,Healthcare,37.4,NOK,4,0.0
SKUE.OL,Skue Sparebank,https://skuesparebank.no,Banks—Regional,Financial Services,244.0,NOK,4,1.0524
AURG.OL,Aurskog Sparebank,https://aurskog-sparebank.no,Banks - Regional,Financial Services,222.0,NOK,3,4.0456
SOGN.OL,Sogn Sparebank,https://sognbank.no,Banks - Regional,Financial Services,179.0,NOK,3,4.0503
SHLF.OL,"Shelf Drilling, Ltd.",https://www.shelfdrilling.com,Oil & Gas Drilling,Energy,35.35,NOK,3,0.0
AKSO.OL,Aker Solutions ASA,https://akersolutions.com,Oil & Gas Equipment & Services,Energy,40.9,NOK,2,4.0
IOX.OL,Interoil Exploration and Production ASA,https://www.interoil.no,Oil & Gas E&P,Energy,4.2975,NOK,2,0.0
NEL.OL,Nel ASA,https://nelhydrogen.com,Specialty Industrial Machinery,Industrials,5.226,NOK,2,0.0
NAS.OL,Norwegian Air Shuttle ASA,https://www.norwegian.com,Airlines,Industrials,13.395,NOK,2,0.0
PARB.OL,Pareto Bank ASA,https://www.paretobank.no,Banks - Regional,Financial Services,55.4,NOK,2,5.0
PCIB.OL,PCI Biotech Holding ASA,https://www.pcibiotech.com,Biotechnology,Healthcare,2.04,NOK,2,0.0
SALM.OL,SalMar ASA,https://www.salmar.no,Farm Products,Consumer Defensive,575.4,NOK,2,7.0508
TOTG.OL,Totens Sparebank,https://www.totenbanken.no,Banks—Regional,Financial Services,226.0,NOK,2,5.0506
AKER.OL,Aker ASA,https://www.akerasa.com,Conglomerates,Industrials,649.5,NOK,1,8.046
CARA.OL,Carasent ASA,https://carasent.com,Health Information Services,Healthcare,10.8,NOK,1,7.0
ATEA.OL,Atea ASA,https://www.atea.com,Information Technology Services,Technology,142.4,NOK,1,4.0464
BWLPG.OL,BW LPG Limited,https://www.bwlpg.com,Marine Shipping,Industrials,141.2,NOK,1,8.0
BMA.OL,Byggma ASA,https://www.byggma.no,Building Products & Equipment,Industrials,19.0,NOK,1,0.0724
EIOF.OL,Eidesvik Offshore ASA,https://www.eidesvik.no,Oil & Gas Equipment & Services,Energy,13.18,NOK,1,0.029500000000000002
IDEX.OL,IDEX Biometrics ASA,https://www.idexbiometrics.com,Software - Application,Technology,2.077,NOK,1,0.0
LSG.OL,Lerøy Seafood Group ASA,https://www.leroyseafood.com,Packaged Foods,Consumer Defensive,41.86,NOK,1,4.0355
MOWI.OL,Mowi ASA,https://www.mowi.com,Farm Products,Consumer Defensive,186.75,NOK,1,8.0337
NEXT.OL,NEXT Biometrics Group ASA,https://www.nextbiometrics.com,Scientific & Technical Instruments,Technology,8.04,NOK,1,0.0
MPCC.OL,MPC Container Ships ASA,https://www.mpc-container.com,Marine Shipping,Industrials,15.85,NOK,1,8.0
NOD.OL,Nordic Semiconductor ASA,https://www.nordicsemi.com,Semiconductors,Technology,110.3,NOK,1,0.0
NHY.OL,Norsk Hydro ASA,https://www.hydro.com,Aluminum,Basic Materials,62.76,NOK,1,4.0334
ODF.OL,Odfjell SE,https://www.odfjell.com,Marine Shipping,Industrials,138.0,NOK,1,9.0397
PEN.OL,Panoro Energy ASA,https://www.panoroenergy.com,Oil & Gas E&P,Energy,27.38,NOK,1,8.0
SDRL.OL,Seadrill Limited,https://www.seadrill.com,Oil & Gas Drilling,Energy,478.0,NOK,1,0.0
SSG.OL,Self Storage Group ASA,https://www.selfstoragegroup.no,Specialty Business Services,Industrials,39.5,NOK,1,0.0
RING.OL,SpareBank 1 Ringerike Hadeland,https://www.sparebank1.no/ringerike-hadeland,Banks—Regional,Financial Services,298.0,NOK,1,8.0432
MORG.OL,Sparebanken Møre,https://www.sbm.no,Banks—Regional,Financial Services,85.51,NOK,1,2.0403000000000002
SNI.OL,Stolt-Nielsen Limited,https://www.stolt-nielsen.com,Marine Shipping,Industrials,377.5,NOK,1,9.0464
TGS.OL,TGS ASA,https://www.tgs.com,Oil & Gas Equipment & Services,Energy,105.8,NOK,1,8.0451
VOLUE.OL,Volue ASA,https://www.volue.com,Software—Application,Technology,22.25,NOK,1,0.0
WSTEP.OL,Webstep ASA,https://www.webstep.com,Information Technology Services,Technology,22.7,NOK,1,4.0
ABG.OL,ABG Sundal Collier Holding ASA,https://www.abgsc.com,Capital Markets,Financial Services,6.39,NOK,0,7.1138
AFG.OL,AF Gruppen ASA,https://afgruppen.com,Engineering & Construction,Industrials,118.8,NOK,0,8.0602
AKVA.OL,AKVA group ASA,https://www.akvagroup.com,Farm & Heavy Construction Machinery,Industrials,55.0,NOK,0,0.0194
AMSC.OL,AMSC ASA,https://www.amscasa.com,Marine Shipping,Industrials,28.3,NOK,0,8.1111
AFK.OL,Arendals Fossekompani ASA,https://arendalsfossekompani.no,Conglomerates,Industrials,161.4,NOK,0,8.035
AUSS.OL,Austevoll Seafood ASA,https://www.auss.no,Farm Products,Consumer Defensive,75.75,NOK,0,7.041
AWDR.OL,Awilco Drilling PLC,https://www.awilcodrilling.com,Oil & Gas Drilling,Energy,12.998,NOK,0,0.2905
ACR.OL,Axactor ASA,https://www.axactor.com,Credit Services,Financial Services,5.0,NOK,0,0.0
B2I.OL,B2 Impact ASA,https://www.b2-impact.com,Credit Services,Financial Services,7.49,NOK,0,4.0
BAKKA.OL,P/F Bakkafrost,https://www.bakkafrost.com,Farm Products,Consumer Defensive,586.0,NOK,0,8.019
ENDUR.OL,Endúr ASA,https://endur.no,Conglomerates,Industrials,41.0,NOK,0,0.0
BGBIO.OL,BerGenBio ASA,https://www.bergenbio.com,Biotechnology,Healthcare,0.285,NOK,0,0.0
BOR.OL,Borgestad ASA,https://borgestad.no,Building Products & Equipment,Industrials,0.329,NOK,0,0.0
BRG.OL,Borregaard ASA,https://www.borregaard.com,Specialty Chemicals,Basic Materials,167.6,NOK,0,4.0228
BWO.OL,BW Offshore Limited,https://www.bwoffshore.com,Oil & Gas Equipment & Services,Energy,24.84,NOK,0,8.1151
