TICKER,DIVIDEND SCORE
SNI.OL,10.0464
ODF.OL,10.0397
KOG.OL,10.0162
PARB.OL,10.0
SUBC.OL,10.0
GOGL.OL,9.2279
BWO.OL,9.1151
AMSC.OL,9.1111
FRO.OL,9.1092
KID.OL,9.073
AFG.OL,9.0602
YAR.OL,9.0534
MING.OL,9.0511
EPR.OL,9.0466
AKER.OL,9.046
TGS.OL,9.0451
RING.OL,9.0432
EQNR.OL,9.0367
ENTRA.OL,9.0361
AFK.OL,9.035
KIT.OL,9.0337
MOWI.OL,9.0337
WWIB.OL,9.0249
WWI.OL,9.0232
BAKKA.OL,9.019
SCATC.OL,9.0122
BWLPG.OL,9.0
DNO.OL,9.0
FLNG.OL,9.0
JIN.OL,9.0
MPCC.OL,9.0
ODL.OL,9.0
PEN.OL,9.0
ABG.OL,8.1138
SOR.OL,8.0717
NONG.OL,8.0586
POL.OL,8.0579
SALM.OL,8.0508
GJF.OL,8.0489
AUSS.OL,8.041
HELG.OL,8.036
CARA.OL,8.0
SADG.OL,8.0
STB.OL,6.0536
TOTG.OL,6.0506
SOAG.OL,6.0456
SVEG.OL,6.0453
SPOL.OL,6.0434
DNB.OL,6.043
ORK.OL,6.0346
TOM.OL,6.014
SBO.OL,5.1018
MELG.OL,5.0713
HSPG.OL,5.0565
SOGN.OL,5.0503
ATEA.OL,5.0464
AURG.OL,5.0456
VEI.OL,5.045
LSG.OL,5.0355
NHY.OL,5.0334
MULTI.OL,5.0301
GSF.OL,5.0268
RISH.OL,5.0247
MEDI.OL,5.0231
BRG.OL,5.0228
OLT.OL,5.0167
SCHA.OL,5.0086
AKSO.OL,5.0
B2I.OL,5.0
ELK.OL,5.0
REACH.OL,5.0
SCHB.OL,5.0
WSTEP.OL,5.0
TEL.OL,3.0655
MORG.OL,3.0403000000000002
AWDR.OL,1.2905
PRS.OL,1.1294
SPOG.OL,1.0811
BMA.OL,1.0724
SOFF.OL,1.0658
SKUE.OL,1.0524
VVL.OL,1.0432
EIOF.OL,1.0295
AKVA.OL,1.0194
ACR.OL,1.0
ENDUR.OL,1.0
BGBIO.OL,1.0
BOR.OL,1.0
EMGS.OL,1.0
GIG.OL,1.0
GOD.OL,1.0
HAVI.OL,1.0
HEX.OL,1.0
IDEX.OL,1.0
IOX.OL,1.0
MOBA.OL,1.0
KOA.OL,1.0
NAPA.OL,1.0
NAVA.OL,1.0
NEL.OL,1.0
NEXT.OL,1.0
NODL.OL,1.0
NOD.OL,1.0
NAS.OL,1.0
NRC.OL,1.0
OTS.OL,1.0
PCIB.OL,1.0
PEXIP.OL,1.0
PGS.OL,1.0
PSE.OL,1.0
PHO.OL,1.0
PLT.OL,1.0
QFR.OL,1.0
QEC.OL,1.0
SATS.OL,1.0
SDSD.OL,1.0
SBX.OL,1.0
SDRL.OL,1.0
SSG.OL,1.0
SHLF.OL,1.0
SIOFF.OL,1.0
VOLUE.OL,1.0
XXL.OL,1.0
ZAL.OL,1.0
