TICKER,COMPANY,WEBSITE,INDUSTRY,SECTOR,PRICE,CURRENCY,CRITERIA PASSED
VICI,VICI Properties Inc.,https://www.viciproperties.com,REIT—Diversified,Real Estate,32.18,USD,4
ARE,"Alexandria Real Estate Equities, Inc.",https://www.are.com,REIT - Office,Real Estate,128.9,USD,3
CRM,"Salesforce, Inc.",https://www.salesforce.com,Software—Application,Technology,265.58,USD,3
TSLA,"Tesla, Inc.",https://www.tesla.com,Auto Manufacturers,Consumer Cyclical,253.18,USD,3
AMAT,"Applied Materials, Inc.",https://www.appliedmaterials.com,Semiconductor Equipment & Materials,Technology,163.12,USD,2
ACGL,Arch Capital Group Ltd.,https://www.archgroup.com,Insurance - Diversified,Financial Services,74.06,USD,2
BRO,"Brown & Brown, Inc.",https://www.bbinsurance.com,Insurance Brokers,Financial Services,70.92,USD,2
BLDR,"Builders FirstSource, Inc.",https://www.bldr.com,Building Products & Equipment,Industrials,168.66,USD,2
CDNS,"Cadence Design Systems, Inc.",https://www.cadence.com,Software - Application,Technology,273.24,USD,2
CPRT,"Copart, Inc.",https://www.copart.com,Specialty Business Services,Industrials,48.91,USD,2
DXCM,"DexCom, Inc.",https://www.dexcom.com,Medical Devices,Healthcare,124.16,USD,2
DHI,"D.R. Horton, Inc.",https://www.drhorton.com,Residential Construction,Consumer Cyclical,151.98,USD,2
ENPH,"Enphase Energy, Inc.",https://www.enphase.com,Solar,Technology,134.79,USD,2
FTNT,"Fortinet, Inc.",https://www.fortinet.com,Software—Infrastructure,Technology,59.4,USD,2
HSY,The Hershey Company,https://www.thehersheycompany.com,Confectioners,Consumer Defensive,184.11,USD,2
INVH,Invitation Homes Inc.,https://www.invitationhomes.com,REIT—Residential,Real Estate,34.7,USD,2
MPWR,"Monolithic Power Systems, Inc.",https://www.monolithicpower.com,Semiconductors,Technology,632.22,USD,2
ON,ON Semiconductor Corporation,https://www.onsemi.com,Semiconductors,Technology,84.98,USD,2
POOL,Pool Corporation,https://www.poolcorp.com,Industrial Distribution,Industrials,402.39,USD,2
