TICKER,COMPANY,WEBSITE,INDUSTRY,SECTOR,PRICE,CURRENCY,CRITERIA PASSED,DIVIDEND SCORE
FTNT,"Fortinet, Inc.",https://www.fortinet.com,Software—Infrastructure,Technology,66.12,USD,6,0.0
DAL,"Delta Air Lines, Inc.",https://www.delta.com,Airlines,Industrials,39.63,USD,5,4.023
UAL,"United Airlines Holdings, Inc.",https://www.united.com,Airlines,Industrials,42.55,USD,5,0.0
BRO,"Brown & Brown, Inc.",https://www.bbinsurance.com,Insurance Brokers,Financial Services,76.88,USD,4,8.0075
PCAR,PACCAR Inc,https://www.paccar.com,Farm & Heavy Construction Machinery,Industrials,101.76,USD,4,8.0152
VICI,VICI Properties Inc.,https://www.viciproperties.com,REIT—Diversified,Real Estate,30.4,USD,4,8.0491
WYNN,"Wynn Resorts, Limited",https://www.wynnresorts.com,Resorts & Casinos,Consumer Cyclical,96.73,USD,4,8.0228
ARE,"Alexandria Real Estate Equities, Inc.",https://www.are.com,REIT - Office,Real Estate,124.35,USD,3,8.0288
AAL,American Airlines Group Inc.,https://www.aa.com,Airlines,Industrials,15.13,USD,3,0.0127
CDNS,"Cadence Design Systems, Inc.",https://www.cadence.com,Software - Application,Technology,290.73,USD,3,0.0
CDAY,Ceridian HCM Holding Inc.,https://www.ceridian.com,Software - Application,Technology,68.2,USD,3,0.0
INVH,Invitation Homes Inc.,https://www.invitationhomes.com,REIT—Residential,Real Estate,33.25,USD,3,8.0215
MGM,MGM Resorts International,https://www.mgmresorts.com,Resorts & Casinos,Consumer Cyclical,43.65,USD,3,8.0081
PAYC,"Paycom Software, Inc.",https://www.paycom.com,Software—Application,Technology,193.81,USD,3,8.0
CRM,"Salesforce, Inc.",https://www.salesforce.com,Software—Application,Technology,279.94,USD,3,0.0
TSLA,"Tesla, Inc.",https://www.tesla.com,Auto Manufacturers,Consumer Cyclical,183.25,USD,3,0.0
UBER,"Uber Technologies, Inc.",https://www.uber.com,Software—Application,Technology,65.52,USD,3,0.0
UNH,UnitedHealth Group Incorporated,https://www.unitedhealthgroup.com,Healthcare Plans,Healthcare,503.2,USD,3,8.0136
ABNB,"Airbnb, Inc.",https://www.airbnb.com,Travel Services,Consumer Cyclical,149.62,USD,2,0.0
ACGL,Arch Capital Group Ltd.,https://www.archgroup.com,Insurance - Diversified,Financial Services,79.9,USD,2,0.0
ANET,"Arista Networks, Inc.",https://www.arista.com,Computer Hardware,Technology,264.4,USD,2,0.0
BA,The Boeing Company,https://www.boeing.com,Aerospace & Defense,Industrials,205.47,USD,2,0.0248
BLDR,"Builders FirstSource, Inc.",https://www.bldr.com,Building Products & Equipment,Industrials,169.52,USD,2,0.0
CZR,"Caesars Entertainment, Inc.",https://www.caesars.com,Resorts & Casinos,Consumer Cyclical,44.49,USD,2,0.0
CMG,"Chipotle Mexican Grill, Inc.",https://www.chipotle.com,Restaurants,Consumer Cyclical,2326.25,USD,2,0.0
CPRT,"Copart, Inc.",https://www.copart.com,Specialty Business Services,Industrials,48.06,USD,2,0.0
DE,Deere & Company,https://www.deere.com,Farm & Heavy Construction Machinery,Industrials,393.62,USD,2,8.0136
DXCM,"DexCom, Inc.",https://www.dexcom.com,Medical Devices,Healthcare,121.96,USD,2,0.0
ENPH,"Enphase Energy, Inc.",https://www.enphase.com,Solar,Technology,105.37,USD,2,0.0
HSY,The Hershey Company,https://www.thehersheycompany.com,Confectioners,Consumer Defensive,190.21,USD,2,9.0196
HWM,Howmet Aerospace Inc.,https://www.howmet.com,Aerospace & Defense,Industrials,55.43,USD,2,8.0
LYV,"Live Nation Entertainment, Inc.",https://www.livenationentertainment.com,Entertainment,Communication Services,89.29,USD,2,0.0
L,Loews Corporation,https://www.loews.com,Insurance—Property & Casualty,Financial Services,72.78,USD,2,4.0049
LULU,Lululemon Athletica Inc.,https://shop.lululemon.com,Apparel Retail,Consumer Cyclical,478.03,USD,2,0.0
MAR,"Marriott International, Inc.",https://www.marriott.com,Lodging,Consumer Cyclical,241.6,USD,2,8.0129
MPWR,"Monolithic Power Systems, Inc.",https://www.monolithicpower.com,Semiconductors,Technology,601.14,USD,2,9.0072
NEE,"NextEra Energy, Inc.",https://www.nexteraenergy.com,Utilities—Regulated Electric,Utilities,58.48,USD,2,5.0216
ON,ON Semiconductor Corporation,https://www.onsemi.com,Semiconductors,Technology,71.71,USD,2,0.0
OKE,"ONEOK, Inc.",https://www.oneok.com/,Oil & Gas Midstream,Energy,70.44,USD,2,8.0704
PCG,PG&E Corporation,https://www.pgecorp.com,Utilities—Regulated Electric,Utilities,16.99,USD,2,4.0332
POOL,Pool Corporation,https://www.poolcorp.com,Industrial Distribution,Industrials,377.39,USD,2,8.009
RMD,ResMed Inc.,https://www.resmed.com,Medical Instruments & Supplies,Healthcare,190.15,USD,2,8.009
NOW,"ServiceNow, Inc.",https://www.servicenow.com,Software—Application,Technology,769.44,USD,2,0.0
SNPS,"Synopsys, Inc.",https://www.synopsys.com,Software—Infrastructure,Technology,528.13,USD,2,0.0
URI,"United Rentals, Inc.",https://www.unitedrentals.com,Rental & Leasing Services,Industrials,630.75,USD,2,8.0
WAB,Westinghouse Air Brake Technologies Corporation,https://www.wabteccorp.com,Railroads,Industrials,129.98,USD,2,8.0064
ADBE,Adobe Inc.,https://www.adobe.com,Software - Infrastructure,Technology,613.93,USD,1,0.0012
AMD,"Advanced Micro Devices, Inc.",https://www.amd.com,Semiconductors,Technology,177.25,USD,1,0.0
AXP,American Express Company,https://www.americanexpress.com,Credit Services,Financial Services,201.43,USD,1,4.0132
AME,"AMETEK, Inc.",https://www.ametek.com,Specialty Industrial Machinery,Industrials,163.52,USD,1,8.0063
ADI,"Analog Devices, Inc.",https://www.analog.com,Semiconductors,Technology,193.93,USD,1,8.0182
APTV,Aptiv PLC,https://www.aptiv.com,Auto Parts,Consumer Cyclical,86.04,USD,1,0.0116
ADM,Archer-Daniels-Midland Company,https://www.adm.com,Farm Products,Consumer Defensive,52.05,USD,1,8.0261
ATO,Atmos Energy Corporation,https://www.atmosenergy.com,Utilities - Regulated Gas,Utilities,113.7,USD,1,9.0235
ADSK,"Autodesk, Inc.",https://www.autodesk.com,Software - Application,Technology,253.07,USD,1,0.0048
AZO,"AutoZone, Inc.",https://www.autozone.com,Specialty Retail,Consumer Cyclical,2780.24,USD,1,0.0
AXON,"Axon Enterprise, Inc.",https://www.axon.com,Aerospace & Defense,Industrials,251.36,USD,1,0.0
AVGO,Broadcom Inc.,https://www.broadcom.com,Semiconductors,Technology,1204.88,USD,1,9.0304
CAT,Caterpillar Inc.,https://www.caterpillar.com,Farm & Heavy Construction Machinery,Industrials,299.43,USD,1,8.0236
CE,Celanese Corporation,https://www.celanese.com,Chemicals,Basic Materials,146.14,USD,1,4.0218
CNC,Centene Corporation,https://www.centene.com,Healthcare Plans,Healthcare,73.77,USD,1,0.0
CRL,"Charles River Laboratories International, Inc.",https://www.criver.com,Diagnostics & Research,Healthcare,220.28,USD,1,0.0
ED,"Consolidated Edison, Inc.",https://www.conedison.com,Utilities—Regulated Electric,Utilities,90.02,USD,1,9.0366
CSGP,"CoStar Group, Inc.",https://www.costargroup.com,Real Estate Services,Real Estate,85.09,USD,1,0.0
CMI,Cummins Inc.,https://www.cummins.com,Specialty Industrial Machinery,Industrials,240.63,USD,1,8.0268
DHR,Danaher Corporation,https://www.danaher.com,Diagnostics & Research,Healthcare,233.0,USD,1,2.0038
ETN,Eaton Corporation plc,https://www.eaton.com,Specialty Industrial Machinery,Industrials,245.89,USD,1,9.0244
EMR,Emerson Electric Co.,https://www.emerson.com,Specialty Industrial Machinery,Industrials,95.06,USD,1,9.0257
EPAM,"EPAM Systems, Inc.",https://www.epam.com,Information Technology Services,Technology,288.36,USD,1,0.0
EQIX,"Equinix, Inc.",https://www.equinix.com,REIT—Specialty,Real Estate,810.98,USD,1,8.0168
ETSY,"Etsy, Inc.",https://www.etsy.com,Internet Retail,Consumer Cyclical,69.53,USD,1,0.0
EXPE,"Expedia Group, Inc.",https://www.expediagroup.com,Travel Services,Consumer Cyclical,151.93,USD,1,0.0096
FRT,Federal Realty Investment Trust,https://www.federalrealty.com,REIT—Retail,Real Estate,103.6,USD,1,8.0405
FI,"Fiserv, Inc.",https://www.fiserv.com,Information Technology Services,Technology,141.34,USD,1,0.0
GNRC,Generac Holdings Inc.,https://www.generac.com,Specialty Industrial Machinery,Industrials,114.69,USD,1,0.0
HLT,Hilton Worldwide Holdings Inc.,https://www.hilton.com,Lodging,Consumer Cyclical,192.63,USD,1,4.008
HUBB,Hubbell Incorporated,https://www.hubbell.com,Electrical Equipment & Parts,Industrials,328.98,USD,1,8.0217
INCY,Incyte Corporation,https://www.incyte.com,Biotechnology,Healthcare,60.64,USD,1,0.0
IR,Ingersoll Rand Inc.,https://www.irco.com,Specialty Industrial Machinery,Industrials,79.3,USD,1,8.0
PODD,Insulet Corporation,https://www.insulet.com,Medical Devices,Healthcare,195.46,USD,1,0.0
INTU,Intuit Inc.,https://www.intuit.com,Software—Application,Technology,641.36,USD,1,8.0063
IQV,IQVIA Holdings Inc.,https://www.iqvia.com,Diagnostics & Research,Healthcare,216.09,USD,1,0.0
IRM,Iron Mountain Incorporated,https://www.ironmountain.com,REIT—Specialty,Real Estate,67.56,USD,1,8.0631
KLAC,KLA Corporation,https://www.kla.com,Semiconductor Equipment & Materials,Technology,599.37,USD,1,8.0149
KHC,The Kraft Heinz Company,https://www.kraftheinzcompany.com,Packaged Foods,Consumer Defensive,37.21,USD,1,7.0491
MTB,M&T Bank Corporation,https://www3.mtb.com,Banks—Regional,Financial Services,141.52,USD,1,7.0318
MA,Mastercard Incorporated,https://www.mastercard.com,Credit Services,Financial Services,438.53,USD,1,8.0051
MTCH,"Match Group, Inc.",https://www.mtch.com,Internet Content & Information,Communication Services,37.96,USD,1,0.0152
MOH,"Molina Healthcare, Inc.",https://www.molinahealthcare.com,Healthcare Plans,Healthcare,353.61,USD,1,0.0
MOS,The Mosaic Company,https://www.mosaicco.com,Agricultural Inputs,Basic Materials,32.23,USD,1,8.0102
MSCI,MSCI Inc.,https://www.msci.com,Financial Data & Stock Exchanges,Financial Services,549.29,USD,1,9.0087
NI,NiSource Inc.,https://www.nisource.com,Utilities—Regulated Gas,Utilities,25.82,USD,1,8.0332
PANW,"Palo Alto Networks, Inc.",https://www.paloaltonetworks.com,Software—Infrastructure,Technology,342.44,USD,1,0.0
PM,Philip Morris International Inc.,https://www.pmi.com,Tobacco,Consumer Defensive,90.85,USD,1,8.0548
PHM,"PulteGroup, Inc.",https://www.pultegroup.com,Residential Construction,Consumer Cyclical,105.12,USD,1,8.0116
PWR,"Quanta Services, Inc.",https://www.quantaservices.com,Engineering & Construction,Industrials,196.3,USD,1,8.0026
O,Realty Income Corporation,https://www.realtyincome.com,REIT—Retail,Real Estate,54.97,USD,1,8.0442
RSG,"Republic Services, Inc.",https://www.republicservices.com,Waste Management,Industrials,171.29,USD,1,8.0157
ROK,"Rockwell Automation, Inc.",https://www.rockwellautomation.com,Specialty Industrial Machinery,Industrials,303.0,USD,1,8.0181
ROL,"Rollins, Inc.",https://www.rollins.com,Personal Services,Consumer Cyclical,43.23,USD,1,8.0102
SPGI,S&P Global Inc.,https://www.spglobal.com,Financial Data & Stock Exchanges,Financial Services,446.6,USD,1,9.0085
SLB,Schlumberger Limited,https://www.slb.com,Oil & Gas Equipment & Services,Energy,52.92,USD,1,8.0343
SBUX,Starbucks Corporation,https://www.starbucks.com,Restaurants,Consumer Cyclical,92.8,USD,1,9.0192
SYY,Sysco Corporation,https://www.sysco.com,Food Distribution,Consumer Defensive,75.15,USD,1,9.0246
TDY,Teledyne Technologies Incorporated,https://www.teledyne.com,Scientific & Technical Instruments,Technology,418.96,USD,1,0.0
TXT,Textron Inc.,https://www.textron.com,Aerospace & Defense,Industrials,84.83,USD,1,4.0015
