TICKER,COMPANY,WEBSITE,INDUSTRY,SECTOR,CRITERIA PASSED
GIG.OL,Gaming Innovation Group Inc.,https://www.gig.com,Gambling,Consumer Cyclical,5
NOD.OL,Nordic Semiconductor ASA,https://www.nordicsemi.com,Semiconductors,Technology,5
EIOF.OL,Eidesvik Offshore ASA,https://www.eidesvik.no,Oil & Gas Equipment & Services,Energy,3
NAVA.OL,Navamedic ASA,https://www.navamedic.com,Medical Distribution,Healthcare,3
NHY.OL,Norsk Hydro ASA,https://www.hydro.com,Aluminum,Basic Materials,3
SNI.OL,Stolt-Nielsen Limited,https://www.stolt-nielsen.com,Marine Shipping,Industrials,3
AKER.OL,Aker ASA,https://www.akerasa.com,Conglomerates,Industrials,2
AKSO.OL,Aker Solutions ASA,https://akersolutions.com,Oil & Gas Equipment & Services,Energy,2
SOGN.OL,Sogn Sparebank,https://sognbank.no,Banks—Regional,Financial Services,2
NEL.OL,Nel ASA,https://nelhydrogen.com,Specialty Industrial Machinery,Industrials,2
SKUE.OL,Skue Sparebank,https://skuesparebank.no,Banks—Regional,Financial Services,2
CARA.OL,Carasent ASA,https://carasent.com,Health Information Services,Healthcare,1
ATEA.OL,Atea ASA,https://www.atea.com,Information Technology Services,Technology,1
ENDUR.OL,Endúr ASA,https://endur.no,Conglomerates,Industrials,1
BMA.OL,Byggma ASA,https://www.byggma.no,Building Products & Equipment,Industrials,1
EPR.OL,Europris ASA,https://www.europris.no,Discount Stores,Consumer Defensive,1
IDEX.OL,IDEX Biometrics ASA,https://www.idexbiometrics.com,Software—Application,Technology,1
IOX.OL,Interoil Exploration and Production ASA,https://www.interoil.no,Oil & Gas E&P,Energy,1
KIT.OL,Kitron ASA,https://www.kitron.com,Electronic Components,Technology,1
MEDI.OL,Medistim ASA,https://www.medistim.com,Medical Devices,Healthcare,1
NEXT.OL,NEXT Biometrics Group ASA,https://www.nextbiometrics.com,Scientific & Technical Instruments,Technology,1
PCIB.OL,PCI Biotech Holding ASA,https://www.pcibiotech.com,Biotechnology,Healthcare,1
REACH.OL,Reach Subsea ASA,https://reachsubsea.no,Oil & Gas Equipment & Services,Energy,1
SSG.OL,Self Storage Group ASA,https://www.selfstoragegroup.no,Specialty Business Services,Industrials,1
VOLUE.OL,Volue ASA,https://www.volue.com,Software—Application,Technology,1
ABG.OL,ABG Sundal Collier Holding ASA,https://www.abgsc.com,Capital Markets,Financial Services,0
AFG.OL,AF Gruppen ASA,https://afgruppen.com,Engineering & Construction,Industrials,0
AKVA.OL,AKVA group ASA,https://www.akvagroup.com,Farm & Heavy Construction Machinery,Industrials,0
AMSC.OL,AMSC ASA,https://www.amscasa.com,Marine Shipping,Industrials,0
AFK.OL,Arendals Fossekompani ASA,https://arendalsfossekompani.no,Conglomerates,Industrials,0
AURG.OL,Aurskog Sparebank,https://aurskog-sparebank.no,Banks—Regional,Financial Services,0
AUSS.OL,Austevoll Seafood ASA,https://www.auss.no,Farm Products,Consumer Defensive,0
